,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,53.23,4.04,54.06,
1,02-01-2018 00:00,03-01-2018 00:00,76.06,5.3,56.09,
2,03-01-2018 00:00,04-01-2018 00:00,87.53,8.19,54.46,
3,04-01-2018 00:00,05-01-2018 00:00,88.14,13.66,63.57,
4,05-01-2018 00:00,06-01-2018 00:00,66.8,12.55,68.41,
5,06-01-2018 00:00,07-01-2018 00:00,67.71,8.34,78.09,
6,07-01-2018 00:00,08-01-2018 00:00,71.02,8.0,59.1,
7,08-01-2018 00:00,09-01-2018 00:00,71.95,6.49,64.37,
8,09-01-2018 00:00,10-01-2018 00:00,77.21,6.43,62.67,
9,10-01-2018 00:00,11-01-2018 00:00,70.19,9.66,58.09,
10,11-01-2018 00:00,12-01-2018 00:00,78.25,11.08,75.31,
11,12-01-2018 00:00,13-01-2018 00:00,72.46,16.81,86.59,
12,13-01-2018 00:00,14-01-2018 00:00,64.08,25.0,71.16,
13,14-01-2018 00:00,15-01-2018 00:00,73.58,11.52,56.1,
14,15-01-2018 00:00,16-01-2018 00:00,78.95,4.68,36.85,
15,16-01-2018 00:00,17-01-2018 00:00,62.49,5.74,44.88,
16,17-01-2018 00:00,18-01-2018 00:00,57.62,6.84,54.01,
17,18-01-2018 00:00,19-01-2018 00:00,59.03,5.86,63.29,
18,19-01-2018 00:00,20-01-2018 00:00,54.96,13.34,67.24,
19,20-01-2018 00:00,21-01-2018 00:00,57.09,21.03,75.56,
20,21-01-2018 00:00,22-01-2018 00:00,63.35,9.28,66.76,
21,22-01-2018 00:00,23-01-2018 00:00,66.73,5.53,55.81,
22,23-01-2018 00:00,24-01-2018 00:00,54.55,3.93,52.63,
23,24-01-2018 00:00,25-01-2018 00:00,59.69,5.78,45.07,
24,25-01-2018 00:00,26-01-2018 00:00,67.62,15.79,65.91,
25,26-01-2018 00:00,27-01-2018 00:00,64.7,19.47,68.13,
26,27-01-2018 00:00,28-01-2018 00:00,65.99,10.16,65.81,
27,28-01-2018 00:00,29-01-2018 00:00,63.6,4.44,50.93,
28,29-01-2018 00:00,30-01-2018 00:00,61.61,5.67,50.51,
29,30-01-2018 00:00,31-01-2018 00:00,52.36,15.69,60.79,
30,31-01-2018 00:00,01-02-2018 00:00,47.14,16.16,86.45,
31,01-02-2018 00:00,02-02-2018 00:00,43.0,10.96,85.46,
32,02-02-2018 00:00,03-02-2018 00:00,42.04,9.71,90.63,
33,03-02-2018 00:00,04-02-2018 00:00,35.1,7.83,49.91,
34,04-02-2018 00:00,05-02-2018 00:00,31.41,7.13,35.88,
35,05-02-2018 00:00,06-02-2018 00:00,33.57,4.31,45.36,
36,06-02-2018 00:00,07-02-2018 00:00,40.59,4.67,68.7,
37,07-02-2018 00:00,08-02-2018 00:00,50.45,8.44,91.96,
38,08-02-2018 00:00,09-02-2018 00:00,39.32,3.91,74.22,
39,09-02-2018 00:00,10-02-2018 00:00,45.74,7.62,54.89,
40,10-02-2018 00:00,11-02-2018 00:00,54.09,6.44,63.37,
41,11-02-2018 00:00,12-02-2018 00:00,70.91,1.51,36.0,
42,12-02-2018 00:00,13-02-2018 00:00,60.29,1.25,24.46,
43,13-02-2018 00:00,14-02-2018 00:00,43.18,0.87,34.63,
44,14-02-2018 00:00,15-02-2018 00:00,45.36,3.06,52.92,
45,15-02-2018 00:00,16-02-2018 00:00,49.45,10.58,55.24,
46,16-02-2018 00:00,17-02-2018 00:00,42.06,16.99,57.8,
47,17-02-2018 00:00,18-02-2018 00:00,42.6,19.02,68.79,
48,18-02-2018 00:00,19-02-2018 00:00,52.03,6.34,76.49,
49,19-02-2018 00:00,20-02-2018 00:00,41.21,4.72,43.68,
50,20-02-2018 00:00,21-02-2018 00:00,41.33,3.86,46.74,
51,21-02-2018 00:00,22-02-2018 00:00,48.9,4.94,51.62,
52,22-02-2018 00:00,23-02-2018 00:00,51.14,7.22,59.85,
53,23-02-2018 00:00,24-02-2018 00:00,45.82,5.22,57.99,
54,24-02-2018 00:00,25-02-2018 00:00,35.95,2.6,53.1,
55,25-02-2018 00:00,26-02-2018 00:00,31.69,3.79,68.56,
56,26-02-2018 00:00,27-02-2018 00:00,41.06,5.31,81.41,
57,27-02-2018 00:00,28-02-2018 00:00,40.55,8.07,84.74,
58,28-02-2018 00:00,01-03-2018 00:00,52.64,7.29,78.45,
59,01-03-2018 00:00,02-03-2018 00:00,44.91,6.69,71.66,
60,02-03-2018 00:00,03-03-2018 00:00,40.6,6.68,47.17,
61,03-03-2018 00:00,04-03-2018 00:00,41.99,6.59,47.5,
62,04-03-2018 00:00,05-03-2018 00:00,43.67,7.03,47.28,
63,05-03-2018 00:00,06-03-2018 00:00,38.07,7.42,44.71,
64,06-03-2018 00:00,07-03-2018 00:00,39.72,8.72,37.85,
65,07-03-2018 00:00,08-03-2018 00:00,36.04,5.57,40.98,
66,08-03-2018 00:00,09-03-2018 00:00,39.73,6.5,46.28,
67,09-03-2018 00:00,10-03-2018 00:00,47.5,2.83,65.62,
68,10-03-2018 00:00,11-03-2018 00:00,57.46,6.18,46.26,
69,11-03-2018 00:00,12-03-2018 00:00,44.02,4.52,34.44,
70,12-03-2018 00:00,13-03-2018 00:00,32.08,2.4,50.61,
71,13-03-2018 00:00,14-03-2018 00:00,31.83,3.72,49.81,
72,14-03-2018 00:00,15-03-2018 00:00,37.58,4.12,49.69,
73,15-03-2018 00:00,16-03-2018 00:00,43.25,6.72,49.27,
74,16-03-2018 00:00,17-03-2018 00:00,52.32,14.87,45.35,
75,17-03-2018 00:00,18-03-2018 00:00,43.88,1.93,38.57,
76,18-03-2018 00:00,19-03-2018 00:00,32.96,1.39,42.51,
77,19-03-2018 00:00,20-03-2018 00:00,35.92,2.39,55.19,
78,20-03-2018 00:00,21-03-2018 00:00,45.67,1.89,62.15,
79,21-03-2018 00:00,22-03-2018 00:00,50.11,9.27,58.29,
80,22-03-2018 00:00,23-03-2018 00:00,58.45,16.2,72.07,
81,23-03-2018 00:00,24-03-2018 00:00,49.29,16.13,82.39,
82,24-03-2018 00:00,25-03-2018 00:00,54.96,15.7,84.6,
83,25-03-2018 00:00,26-03-2018 00:00,64.41,8.36,54.98,
84,26-03-2018 00:00,27-03-2018 00:00,51.35,4.33,43.1,
85,27-03-2018 00:00,28-03-2018 00:00,48.43,7.16,43.28,
86,28-03-2018 00:00,29-03-2018 00:00,41.85,11.35,44.78,
87,29-03-2018 00:00,30-03-2018 00:00,47.55,7.16,49.88,
88,30-03-2018 00:00,31-03-2018 00:00,43.6,4.68,40.11,
89,31-03-2018 00:00,01-04-2018 00:00,41.97,6.08,40.06,
90,01-04-2018 00:00,02-04-2018 00:00,34.35,2.6,30.03,
91,02-04-2018 00:00,03-04-2018 00:00,32.02,1.09,51.57,
92,03-04-2018 00:00,04-04-2018 00:00,43.0,2.75,44.61,
93,04-04-2018 00:00,05-04-2018 00:00,38.43,4.06,47.6,
94,05-04-2018 00:00,06-04-2018 00:00,35.41,1.8,42.56,
95,06-04-2018 00:00,07-04-2018 00:00,40.91,2.72,48.33,
96,07-04-2018 00:00,08-04-2018 00:00,22.57,4.13,50.32,
97,08-04-2018 00:00,09-04-2018 00:00,23.56,0.49,38.54,
98,09-04-2018 00:00,10-04-2018 00:00,28.26,1.27,47.68,
99,10-04-2018 00:00,11-04-2018 00:00,28.5,1.38,54.18,
100,11-04-2018 00:00,12-04-2018 00:00,20.22,1.48,32.7,
101,12-04-2018 00:00,13-04-2018 00:00,23.54,5.03,49.55,
102,13-04-2018 00:00,14-04-2018 00:00,18.32,1.49,35.5,
103,14-04-2018 00:00,15-04-2018 00:00,15.1,1.56,30.95,
104,15-04-2018 00:00,16-04-2018 00:00,23.47,3.18,36.52,
105,16-04-2018 00:00,17-04-2018 00:00,36.09,4.05,60.85,
106,17-04-2018 00:00,18-04-2018 00:00,25.54,4.43,39.76,
107,18-04-2018 00:00,19-04-2018 00:00,24.68,4.38,37.81,
108,19-04-2018 00:00,20-04-2018 00:00,33.24,9.6,49.94,
109,20-04-2018 00:00,21-04-2018 00:00,34.73,4.52,55.66,
110,21-04-2018 00:00,22-04-2018 00:00,35.48,3.79,62.67,
111,22-04-2018 00:00,23-04-2018 00:00,30.96,4.61,34.93,
112,23-04-2018 00:00,24-04-2018 00:00,24.1,1.9,27.71,
113,24-04-2018 00:00,25-04-2018 00:00,23.93,2.63,38.28,
114,25-04-2018 00:00,26-04-2018 00:00,28.36,1.67,31.15,
115,26-04-2018 00:00,27-04-2018 00:00,31.48,3.68,42.39,
116,27-04-2018 00:00,28-04-2018 00:00,30.99,3.71,39.44,
117,28-04-2018 00:00,29-04-2018 00:00,69.73,3.31,27.8,
118,29-04-2018 00:00,30-04-2018 00:00,79.44,4.6,25.2,
119,30-04-2018 00:00,01-05-2018 00:00,57.39,4.29,48.92,
120,01-05-2018 00:00,02-05-2018 00:00,36.45,3.54,36.9,
121,02-05-2018 00:00,03-05-2018 00:00,33.36,2.63,13.94,
122,03-05-2018 00:00,04-05-2018 00:00,25.57,1.52,28.29,
123,04-05-2018 00:00,05-05-2018 00:00,14.64,1.59,29.03,
124,05-05-2018 00:00,06-05-2018 00:00,23.19,1.76,26.68,
125,06-05-2018 00:00,07-05-2018 00:00,26.72,3.51,23.34,
126,07-05-2018 00:00,08-05-2018 00:00,25.72,2.24,26.87,
127,08-05-2018 00:00,09-05-2018 00:00,36.94,3.12,50.45,
128,09-05-2018 00:00,10-05-2018 00:00,35.48,3.99,32.82,
129,10-05-2018 00:00,11-05-2018 00:00,26.27,2.08,30.26,
130,11-05-2018 00:00,12-05-2018 00:00,27.35,3.08,29.18,
131,12-05-2018 00:00,13-05-2018 00:00,26.03,2.2,25.24,
132,13-05-2018 00:00,14-05-2018 00:00,26.18,1.71,26.63,
133,14-05-2018 00:00,15-05-2018 00:00,23.61,1.62,21.83,
134,15-05-2018 00:00,16-05-2018 00:00,21.45,1.62,20.19,
135,16-05-2018 00:00,17-05-2018 00:00,36.92,3.5,30.44,
136,17-05-2018 00:00,18-05-2018 00:00,34.75,1.69,36.83,
137,18-05-2018 00:00,19-05-2018 00:00,29.88,1.23,24.25,
138,19-05-2018 00:00,20-05-2018 00:00,41.53,3.56,33.97,
139,20-05-2018 00:00,21-05-2018 00:00,36.2,2.75,22.9,
140,21-05-2018 00:00,22-05-2018 00:00,41.67,3.31,29.57,
141,22-05-2018 00:00,23-05-2018 00:00,36.67,2.45,22.92,
142,23-05-2018 00:00,24-05-2018 00:00,42.66,2.72,36.43,
143,24-05-2018 00:00,25-05-2018 00:00,32.84,2.21,36.54,
144,25-05-2018 00:00,26-05-2018 00:00,35.69,2.46,27.96,
145,26-05-2018 00:00,27-05-2018 00:00,20.1,0.58,23.22,
146,27-05-2018 00:00,28-05-2018 00:00,21.76,1.24,23.17,
147,28-05-2018 00:00,29-05-2018 00:00,25.43,1.5,20.18,
148,29-05-2018 00:00,30-05-2018 00:00,29.56,2.78,28.85,
149,30-05-2018 00:00,31-05-2018 00:00,25.5,1.59,18.0,
150,31-05-2018 00:00,01-06-2018 00:00,28.42,2.28,24.6,
151,01-06-2018 00:00,02-06-2018 00:00,31.58,1.59,27.97,
152,02-06-2018 00:00,03-06-2018 00:00,32.18,0.83,30.58,
153,03-06-2018 00:00,04-06-2018 00:00,29.7,0.78,21.68,
154,04-06-2018 00:00,05-06-2018 00:00,27.52,0.8,18.23,
155,05-06-2018 00:00,06-06-2018 00:00,29.32,0.84,31.05,
156,06-06-2018 00:00,07-06-2018 00:00,28.92,0.44,23.69,
157,07-06-2018 00:00,08-06-2018 00:00,15.28,0.15,13.12,
158,08-06-2018 00:00,09-06-2018 00:00,16.98,0.78,14.21,
159,09-06-2018 00:00,10-06-2018 00:00,16.8,0.4,14.02,
160,10-06-2018 00:00,11-06-2018 00:00,14.27,0.27,14.33,
161,11-06-2018 00:00,12-06-2018 00:00,19.93,0.49,18.83,
162,12-06-2018 00:00,13-06-2018 00:00,23.68,0.37,14.16,
163,13-06-2018 00:00,14-06-2018 00:00,23.45,0.3,14.11,
164,14-06-2018 00:00,15-06-2018 00:00,,3.25,14.27,
165,15-06-2018 00:00,16-06-2018 00:00,,2.31,13.94,
166,16-06-2018 00:00,17-06-2018 00:00,,2.84,13.96,
167,17-06-2018 00:00,18-06-2018 00:00,,2.28,19.21,
168,18-06-2018 00:00,19-06-2018 00:00,18.06,4.84,24.8,
169,19-06-2018 00:00,20-06-2018 00:00,34.59,2.68,12.27,
170,20-06-2018 00:00,21-06-2018 00:00,44.31,3.45,14.85,
171,21-06-2018 00:00,22-06-2018 00:00,4.19,3.22,17.25,
172,22-06-2018 00:00,23-06-2018 00:00,12.97,3.7,28.65,
173,23-06-2018 00:00,24-06-2018 00:00,12.2,1.93,12.98,
174,24-06-2018 00:00,25-06-2018 00:00,14.36,3.21,12.83,
175,25-06-2018 00:00,26-06-2018 00:00,14.78,2.71,12.53,
176,26-06-2018 00:00,27-06-2018 00:00,15.58,2.04,12.32,
177,27-06-2018 00:00,28-06-2018 00:00,15.12,2.52,15.31,
178,28-06-2018 00:00,29-06-2018 00:00,16.58,3.17,14.06,
179,29-06-2018 00:00,30-06-2018 00:00,16.98,2.46,14.33,
180,30-06-2018 00:00,01-07-2018 00:00,17.67,3.86,15.91,
181,01-07-2018 00:00,02-07-2018 00:00,14.47,3.3,14.17,
182,02-07-2018 00:00,03-07-2018 00:00,14.86,4.17,14.86,
183,03-07-2018 00:00,04-07-2018 00:00,15.83,3.29,15.17,
184,04-07-2018 00:00,05-07-2018 00:00,14.74,3.88,15.02,
185,05-07-2018 00:00,06-07-2018 00:00,10.95,2.78,12.3,
186,06-07-2018 00:00,07-07-2018 00:00,15.69,2.32,15.89,
187,07-07-2018 00:00,08-07-2018 00:00,19.1,2.7,13.61,
188,08-07-2018 00:00,09-07-2018 00:00,16.18,2.48,11.52,
189,09-07-2018 00:00,10-07-2018 00:00,15.18,2.18,10.91,
190,10-07-2018 00:00,11-07-2018 00:00,18.59,2.21,13.16,
191,11-07-2018 00:00,12-07-2018 00:00,19.06,2.4,11.21,
192,12-07-2018 00:00,13-07-2018 00:00,8.46,2.71,9.78,
193,13-07-2018 00:00,14-07-2018 00:00,11.82,2.73,10.5,
194,14-07-2018 00:00,15-07-2018 00:00,12.82,3.17,13.68,
195,15-07-2018 00:00,16-07-2018 00:00,,,,
196,16-07-2018 00:00,17-07-2018 00:00,,,,
197,17-07-2018 00:00,18-07-2018 00:00,14.16,2.77,10.81,
198,18-07-2018 00:00,19-07-2018 00:00,13.58,2.32,13.01,
199,19-07-2018 00:00,20-07-2018 00:00,13.87,3.28,13.71,
200,20-07-2018 00:00,21-07-2018 00:00,11.46,1.89,12.71,
201,21-07-2018 00:00,22-07-2018 00:00,21.62,3.22,16.48,
202,22-07-2018 00:00,23-07-2018 00:00,22.6,2.45,15.27,
203,23-07-2018 00:00,24-07-2018 00:00,17.08,3.33,12.17,
204,24-07-2018 00:00,25-07-2018 00:00,16.26,2.34,14.55,
205,25-07-2018 00:00,26-07-2018 00:00,16.79,3.49,12.39,
206,26-07-2018 00:00,27-07-2018 00:00,13.86,1.96,10.23,
207,27-07-2018 00:00,28-07-2018 00:00,13.0,2.36,12.64,
208,28-07-2018 00:00,29-07-2018 00:00,16.83,1.83,13.35,
209,29-07-2018 00:00,30-07-2018 00:00,18.25,0.7,13.55,
210,30-07-2018 00:00,31-07-2018 00:00,21.94,2.89,12.71,
211,31-07-2018 00:00,01-08-2018 00:00,18.42,2.92,13.86,
212,01-08-2018 00:00,02-08-2018 00:00,20.13,1.75,13.39,
213,02-08-2018 00:00,03-08-2018 00:00,23.32,1.78,17.8,
214,03-08-2018 00:00,04-08-2018 00:00,27.41,3.58,16.3,
215,04-08-2018 00:00,05-08-2018 00:00,19.64,1.84,12.0,
216,05-08-2018 00:00,06-08-2018 00:00,17.39,2.91,16.96,
217,06-08-2018 00:00,07-08-2018 00:00,19.6,2.83,11.38,
218,07-08-2018 00:00,08-08-2018 00:00,15.48,2.96,11.91,
219,08-08-2018 00:00,09-08-2018 00:00,12.43,2.65,13.46,
220,09-08-2018 00:00,10-08-2018 00:00,11.94,3.01,17.76,
221,10-08-2018 00:00,11-08-2018 00:00,12.08,3.16,13.43,
222,11-08-2018 00:00,12-08-2018 00:00,8.69,3.11,10.91,
223,12-08-2018 00:00,13-08-2018 00:00,8.11,2.95,9.79,
224,13-08-2018 00:00,14-08-2018 00:00,7.03,1.71,9.81,
225,14-08-2018 00:00,15-08-2018 00:00,17.28,2.37,17.96,
226,15-08-2018 00:00,16-08-2018 00:00,19.52,1.79,10.84,
227,16-08-2018 00:00,17-08-2018 00:00,3.8,1.69,8.11,
228,17-08-2018 00:00,18-08-2018 00:00,14.45,3.14,10.94,
229,18-08-2018 00:00,19-08-2018 00:00,10.91,2.92,10.88,
230,19-08-2018 00:00,20-08-2018 00:00,9.66,2.38,11.58,
231,20-08-2018 00:00,21-08-2018 00:00,7.58,2.94,9.31,
232,21-08-2018 00:00,22-08-2018 00:00,7.62,2.83,8.74,
233,22-08-2018 00:00,23-08-2018 00:00,7.49,2.81,11.5,
234,23-08-2018 00:00,24-08-2018 00:00,8.8,3.45,11.27,
235,24-08-2018 00:00,25-08-2018 00:00,8.55,1.51,12.25,
236,25-08-2018 00:00,26-08-2018 00:00,11.1,3.07,13.17,
237,26-08-2018 00:00,27-08-2018 00:00,9.2,2.98,12.49,
238,27-08-2018 00:00,28-08-2018 00:00,10.1,3.92,14.24,
239,28-08-2018 00:00,29-08-2018 00:00,11.52,2.16,15.48,
240,29-08-2018 00:00,30-08-2018 00:00,16.62,2.09,16.35,
241,30-08-2018 00:00,31-08-2018 00:00,20.49,3.45,17.33,
242,31-08-2018 00:00,01-09-2018 00:00,18.02,2.35,18.91,
243,01-09-2018 00:00,02-09-2018 00:00,16.23,4.52,17.84,
244,02-09-2018 00:00,03-09-2018 00:00,11.71,1.81,14.08,
245,03-09-2018 00:00,04-09-2018 00:00,8.54,3.44,13.76,
246,04-09-2018 00:00,05-09-2018 00:00,15.36,2.25,17.81,
247,05-09-2018 00:00,06-09-2018 00:00,17.38,2.67,17.17,
248,06-09-2018 00:00,07-09-2018 00:00,23.86,2.3,22.25,
249,07-09-2018 00:00,08-09-2018 00:00,18.0,1.94,14.27,
250,08-09-2018 00:00,09-09-2018 00:00,13.48,2.68,17.51,
251,09-09-2018 00:00,10-09-2018 00:00,22.72,3.78,27.5,
252,10-09-2018 00:00,11-09-2018 00:00,30.68,5.04,37.43,
253,11-09-2018 00:00,12-09-2018 00:00,28.35,3.12,41.1,
254,12-09-2018 00:00,13-09-2018 00:00,22.27,3.35,27.04,
255,13-09-2018 00:00,14-09-2018 00:00,37.02,3.28,29.75,
256,14-09-2018 00:00,15-09-2018 00:00,33.27,2.48,38.82,
257,15-09-2018 00:00,16-09-2018 00:00,34.49,5.19,34.55,
258,16-09-2018 00:00,17-09-2018 00:00,30.73,2.93,29.02,
259,17-09-2018 00:00,18-09-2018 00:00,21.84,4.14,24.45,
260,18-09-2018 00:00,19-09-2018 00:00,29.15,3.05,29.11,
261,19-09-2018 00:00,20-09-2018 00:00,31.22,3.46,26.58,
262,20-09-2018 00:00,21-09-2018 00:00,34.63,3.79,21.72,
263,21-09-2018 00:00,22-09-2018 00:00,31.14,3.54,16.11,
264,22-09-2018 00:00,23-09-2018 00:00,21.83,3.07,14.67,
265,23-09-2018 00:00,24-09-2018 00:00,26.89,2.68,21.48,
266,24-09-2018 00:00,25-09-2018 00:00,30.94,2.73,37.88,
267,25-09-2018 00:00,26-09-2018 00:00,34.4,2.89,34.12,
268,26-09-2018 00:00,27-09-2018 00:00,45.09,3.03,42.79,
269,27-09-2018 00:00,28-09-2018 00:00,34.84,2.95,37.45,
270,28-09-2018 00:00,29-09-2018 00:00,37.27,2.53,36.44,
271,29-09-2018 00:00,30-09-2018 00:00,50.32,4.55,37.65,
272,30-09-2018 00:00,01-10-2018 00:00,63.43,2.96,33.48,
273,01-10-2018 00:00,02-10-2018 00:00,58.4,3.45,41.78,
274,02-10-2018 00:00,03-10-2018 00:00,29.07,4.38,33.69,
275,03-10-2018 00:00,04-10-2018 00:00,30.12,3.24,30.74,
276,04-10-2018 00:00,05-10-2018 00:00,30.48,1.65,33.68,
277,05-10-2018 00:00,06-10-2018 00:00,33.95,5.1,38.34,
278,06-10-2018 00:00,07-10-2018 00:00,49.35,5.78,42.61,
279,07-10-2018 00:00,08-10-2018 00:00,64.82,4.13,41.9,
280,08-10-2018 00:00,09-10-2018 00:00,61.37,4.9,43.16,
281,09-10-2018 00:00,10-10-2018 00:00,57.7,11.3,49.5,
282,10-10-2018 00:00,11-10-2018 00:00,56.13,10.08,55.36,
283,11-10-2018 00:00,12-10-2018 00:00,47.51,14.93,42.59,
284,12-10-2018 00:00,13-10-2018 00:00,47.15,12.23,51.8,
285,13-10-2018 00:00,14-10-2018 00:00,57.51,12.15,55.85,
286,14-10-2018 00:00,15-10-2018 00:00,47.46,8.06,40.4,
287,15-10-2018 00:00,16-10-2018 00:00,51.5,6.7,36.13,
288,16-10-2018 00:00,17-10-2018 00:00,44.39,2.85,29.42,
289,17-10-2018 00:00,18-10-2018 00:00,34.1,4.21,36.88,
290,18-10-2018 00:00,19-10-2018 00:00,31.92,2.52,27.5,
291,19-10-2018 00:00,20-10-2018 00:00,37.02,3.41,45.93,
292,20-10-2018 00:00,21-10-2018 00:00,52.71,4.48,57.96,
293,21-10-2018 00:00,22-10-2018 00:00,54.79,5.84,54.08,
294,22-10-2018 00:00,23-10-2018 00:00,60.75,5.11,65.28,
295,23-10-2018 00:00,24-10-2018 00:00,61.79,5.95,49.98,
296,24-10-2018 00:00,25-10-2018 00:00,61.51,6.01,51.16,
297,25-10-2018 00:00,26-10-2018 00:00,55.06,5.26,55.08,
298,26-10-2018 00:00,27-10-2018 00:00,46.11,12.47,59.37,
299,27-10-2018 00:00,28-10-2018 00:00,52.01,10.93,72.21,
300,28-10-2018 00:00,29-10-2018 00:00,49.76,13.9,41.28,
301,29-10-2018 00:00,30-10-2018 00:00,42.8,25.55,36.51,
302,30-10-2018 00:00,31-10-2018 00:00,46.6,18.18,36.92,
303,31-10-2018 00:00,01-11-2018 00:00,50.58,18.53,52.5,
304,01-11-2018 00:00,02-11-2018 00:00,41.34,6.97,54.01,
305,02-11-2018 00:00,03-11-2018 00:00,22.62,3.16,36.79,
306,03-11-2018 00:00,04-11-2018 00:00,17.96,2.8,32.47,
307,04-11-2018 00:00,05-11-2018 00:00,18.77,3.24,32.44,
308,05-11-2018 00:00,06-11-2018 00:00,26.61,4.57,39.36,
309,06-11-2018 00:00,07-11-2018 00:00,39.88,2.84,43.51,
310,07-11-2018 00:00,08-11-2018 00:00,52.12,7.57,43.06,
311,08-11-2018 00:00,09-11-2018 00:00,53.17,5.85,38.02,
312,09-11-2018 00:00,10-11-2018 00:00,57.86,6.3,47.66,
313,10-11-2018 00:00,11-11-2018 00:00,55.56,15.16,47.52,
314,11-11-2018 00:00,12-11-2018 00:00,46.05,16.16,45.49,
315,12-11-2018 00:00,13-11-2018 00:00,57.45,25.79,46.14,
316,13-11-2018 00:00,14-11-2018 00:00,61.05,28.17,63.02,
317,14-11-2018 00:00,15-11-2018 00:00,65.72,25.28,70.87,
318,15-11-2018 00:00,16-11-2018 00:00,48.06,17.03,53.19,
319,16-11-2018 00:00,17-11-2018 00:00,32.04,7.37,45.18,
320,17-11-2018 00:00,18-11-2018 00:00,16.84,3.07,31.23,
321,18-11-2018 00:00,19-11-2018 00:00,13.17,3.48,30.53,
322,19-11-2018 00:00,20-11-2018 00:00,18.48,3.39,34.07,
323,20-11-2018 00:00,21-11-2018 00:00,44.52,4.18,46.13,
324,21-11-2018 00:00,22-11-2018 00:00,52.61,8.33,44.34,
325,22-11-2018 00:00,23-11-2018 00:00,54.46,8.93,55.53,
326,23-11-2018 00:00,24-11-2018 00:00,63.6,9.99,54.26,
327,24-11-2018 00:00,25-11-2018 00:00,68.43,11.1,63.91,
328,25-11-2018 00:00,26-11-2018 00:00,60.03,15.37,50.27,
329,26-11-2018 00:00,27-11-2018 00:00,52.07,14.95,57.31,
330,27-11-2018 00:00,28-11-2018 00:00,64.23,14.4,71.01,
331,28-11-2018 00:00,29-11-2018 00:00,73.14,6.63,78.54,
332,29-11-2018 00:00,30-11-2018 00:00,67.93,9.37,73.06,
333,30-11-2018 00:00,01-12-2018 00:00,62.49,16.6,61.8,
334,01-12-2018 00:00,02-12-2018 00:00,65.26,11.36,67.63,
335,02-12-2018 00:00,03-12-2018 00:00,66.82,8.42,60.43,
336,03-12-2018 00:00,04-12-2018 00:00,68.28,5.37,55.19,
337,04-12-2018 00:00,05-12-2018 00:00,74.72,5.36,51.62,
338,05-12-2018 00:00,06-12-2018 00:00,57.08,2.22,40.74,
339,06-12-2018 00:00,07-12-2018 00:00,58.42,2.73,47.38,
340,07-12-2018 00:00,08-12-2018 00:00,54.97,2.46,33.62,
341,08-12-2018 00:00,09-12-2018 00:00,73.19,3.62,33.93,
342,09-12-2018 00:00,10-12-2018 00:00,82.89,4.0,27.43,
343,10-12-2018 00:00,11-12-2018 00:00,74.85,5.38,28.18,
344,11-12-2018 00:00,12-12-2018 00:00,74.39,3.63,43.33,
345,12-12-2018 00:00,13-12-2018 00:00,70.86,2.45,37.14,
346,13-12-2018 00:00,14-12-2018 00:00,68.33,1.96,43.09,
347,14-12-2018 00:00,15-12-2018 00:00,74.29,4.6,47.46,
348,15-12-2018 00:00,16-12-2018 00:00,73.35,8.22,36.82,
349,16-12-2018 00:00,17-12-2018 00:00,74.55,17.92,33.84,
350,17-12-2018 00:00,18-12-2018 00:00,45.98,8.89,29.57,
351,18-12-2018 00:00,19-12-2018 00:00,15.32,4.6,24.85,
352,19-12-2018 00:00,20-12-2018 00:00,24.11,4.23,36.96,
353,20-12-2018 00:00,21-12-2018 00:00,34.76,3.7,57.2,
354,21-12-2018 00:00,22-12-2018 00:00,45.7,5.07,60.55,
355,22-12-2018 00:00,23-12-2018 00:00,68.62,7.71,57.17,
356,23-12-2018 00:00,24-12-2018 00:00,75.43,4.54,49.58,
357,24-12-2018 00:00,25-12-2018 00:00,74.49,5.9,60.91,
358,25-12-2018 00:00,26-12-2018 00:00,71.14,8.88,59.54,
359,26-12-2018 00:00,27-12-2018 00:00,63.32,7.12,45.45,
360,27-12-2018 00:00,28-12-2018 00:00,62.47,12.55,53.15,
361,28-12-2018 00:00,29-12-2018 00:00,55.86,20.37,53.27,
362,29-12-2018 00:00,30-12-2018 00:00,60.0,21.57,44.56,
363,30-12-2018 00:00,31-12-2018 00:00,67.61,16.03,52.92,
364,31-12-2018 00:00,01-01-2019 00:00,59.91,28.51,69.78,
365,01-01-2019 00:00,02-01-2019 00:00,64.05,35.71,91.88,
366,02-01-2019 00:00,03-01-2019 00:00,67.49,15.29,99.31,
367,03-01-2019 00:00,04-01-2019 00:00,66.56,11.27,89.93,
368,04-01-2019 00:00,05-01-2019 00:00,70.6,15.86,75.28,
369,05-01-2019 00:00,06-01-2019 00:00,69.11,7.09,57.72,
370,06-01-2019 00:00,07-01-2019 00:00,74.77,7.4,44.14,
371,07-01-2019 00:00,08-01-2019 00:00,76.12,6.54,65.38,
372,08-01-2019 00:00,09-01-2019 00:00,72.17,12.35,81.97,
373,09-01-2019 00:00,10-01-2019 00:00,74.79,23.9,112.4,
374,10-01-2019 00:00,11-01-2019 00:00,73.55,22.36,85.44,
375,11-01-2019 00:00,12-01-2019 00:00,72.14,5.47,50.91,
376,12-01-2019 00:00,13-01-2019 00:00,77.16,6.66,50.31,
377,13-01-2019 00:00,14-01-2019 00:00,62.36,4.63,36.38,
